参加团体留言（按登记先后顺序）
剑道部					神山高中对神山工业的邀请赛 请关注主将战 县内屈指可数的高手对决
街舞部					开幕典礼首席交给我们了 今年新人的水平很高 敬请期待
交谊舞部				第二天下午3点半开始 体育馆全场举办舞会 请务必参加
合唱部					第二天10点开始在体育馆 部员募集中（笑）
演剧部					第三天9点开始舞台表演 原创剧本 对同乡会版本进行改良
侦探小说研究会			第一天11点半举行推理午餐
服装研究会				每天上午11点和下午2点开始 在服装室举办时装秀 并募集模特
漫画研究会				在第一预备教室发售社刊 压轴栏目为古今漫画评论百本斩 必看
化学部					见识钠的威力吧 有危险且责任自负 化学实验室
2年F班					自制电影《万人的死角》 惊愕的结局 你能想得到吗？播映时间请参照别页
应援团&女子啦啦队合办	第一天下午2点半开始 在操场联合表演
茶道部					KANYA祭惯例「超·野外点茶」 今年当然也会举办 地点在城山公园！
美术部					在美术室展示 县美术展入选作《青之赞歌》 请务必移步欣赏
步操乐团部				第三天下午两点开始 在体育馆内演奏
水墨画部				与美术部一起 在美术室进行展示
巫术同好会				在2年E班教室搞各种活动 还有商品哦！
文艺部					第三预备教室和二层走廊发售社刊《树精》 一册200日元。
百人一首部				拜 拜托了…请来与我们对战吧…
超自然研究会			在1年F班教室进行展示 这是认真的研究 拒绝看热闹心态
谜题研究会				第一天下午1点 在操场举办「智力大竞赛7」 等待您的参加 有奖品
天文部					KANYA祭是白天嘛 根本看不到星星嘛 没办法 就做了个太阳系
1年C班					第一天下午2点在体育馆舞台表演「真正愉快的安徒生童话」
广播部					每天中午12点半开始 用校内广播介绍KANYA祭的最新情报 不听也得听
珠算部					为您展示在电视上才能看到的超速心算 地点是特别教学楼二层第四预备教室
辩论部					借用3年B班教室 第一天11点开始到第三天下午2点 举办英语辩论大会
筝曲部					上午两次下午一次 在和室举办演奏会 详细时间表张贴在和室门前
落语研究会				第一天9点开始在舞台 本来以为是开幕第一棒 却被街舞部给……

书法部					在书法室进行展览 可以体验 半纸与笔的幽会
花道部					在一楼走廊进行展览 请停下脚步观赏一下……
生物部					神山生态环境模型 虽然自卖自夸 但透视画太过漂亮 以致不清楚是什么部在展示
将棋部					KANYA杯淘汰赛 每人限时30分钟 拥有豪华奖品 略显夸张 地点在1年G班
手工部					在物理教室进行展示 搭载战斗机的航空母舰Enterprise 也贩卖可爱的小物品
录像电影研究会			自主拍摄电影《了》 地点在视听教室  播放安排见附录
摄影部					在3年G班进行展示 实际演示从前的镁粉闪光灯照片拍摄
电影研究会				在视听教室《新电影天堂》（1989意大利法国）上映会
SF研究会				在视听教室上映去年星云奖媒体部获奖作品 标题（略）
物理部					制作了机器人 双脚站立的类型 不过还推着婴儿车
国际活动俱乐部			在三年级E教室进行展示 期待您的光临
历史研究会				对著名神山城「城山」进行模型重现 研究城池的防御力和陷落的原因
手艺部					曼陀罗地毯 虽然只是社团自称 但感觉有股利益飘散的气息
点心制作研究会			在料理教室前 「参照社团活动的目的 在适当的范围内」出售点心 来买哦！
轻音乐部				乐队系的暂且请作为轻音部进行登录 竞技场几乎全天包场
围棋部					在第二预备教室进行初学者讲座 当然也陪同对弈
清声合唱部				在3年C班常设 第一天11点半起在中庭表演 请前来聆听
板报部					KANYA祭期间每两小时发布号外 预定收录最新火热话题
料理研究会				第二天11点半起 在操场进行料理对决「野火杯」 招募参赛者
园艺部					烤甘薯…这是园艺部？是农业部吧？到底算哪边啊 部长
铜管乐部				每天下午1点半起 在体育馆进行演出 每日更换曲目
魔术部					2年D班进行近景魔术表演 第一天11点半起在体育馆舞台 敬请观赏
占卜研究会				三楼楼梯口设摊位
古典文学部				神高文化祭为什么叫「KANYA祭」？答案就在社刊《冰果》之中 摊位在地理讲义室 每本200日元

执行本部
		陆山宗芳（学生会会长·KANYA祭实行委员长）你们别搞得太过火哦 我想说的只有这个
		八崎庆太（学生会副会长）学园祭期间执行本部设在学生会室 报告联络商谈请从速
